NULL;51;NU01161400;Escuela de Medicina - Departamento de Bioanálisis;A101100402;Departamento de Bioanálisis
NULL;51;NU01161500;Escuela de Medicina - Oficina de Educación Medica;A101100401;Dirección y Gestión Escuelas Área Ciencias de la Salud
NULL;51;NU01161600;Escuela de Medicina - Centro Microscopico Electrónico;A101100403;Departamento de Medicina
NULL;51;NU01161700;Escuela de Medicina - Biblioteca;A101130205;Bibliotecas de Ciencias de la Salud
NULL;51;NU01170100;Escuela de Ciencias de la Tierra - Dirección;A101100201;Dirección y Gestión Escuelas Areas de Ciencias Arquitectura, Ingeniería y Tecnológia
NULL;51;NU01170200;Escuela de Ciencias de la Tierra - Departamento de Geología;A101100212;Departamento de Geología
NULL;51;NU01170300;Escuela de Ciencias de la Tierra - Departamento de Minas y Metalurgicas;A101100213;Departamento de Ingeniería de Minas
NULL;51;NU01170400;Escuela de Ciencias de la Tierra - Departamento de Geotecnia;A101100211;Departamento de Ingeniería Geológica
NULL;51;NU01170500;Escuela de Ciencias de la Tierra - Departamento de Ingeniería Civil;A101100207;Departamento de Ingeniería Civil
NULL;51;NU01180100;Unidad de Cursos Básicos - Dirección;A101100701;Unidad de Cursos Básicos - Dirección
NULL;51;NU01180200;Unidad de Cursos Básicos - Departamento de Ciencias;A101100702;Unidad de Cursos Básicos - Dpto. de Ciencias
NULL;51;NU01180300;Unidad de Cursos Básicos - Departamento Socio-Humanistico;A101100703;Unidad de Cursos Básicos - Dpto. de Sociohumanidades
NULL;53;NU01000000;Extensión UEPO - Dirección;A101020300;Dirección Sub-Núcleos y Extensiones
NULL;53;NU01030000;Biblioteca;A101130208;Bibliotecas Centrales Áreas Interdisciplinarias
NULL;53;NU01040000;Administración;A101020300;Dirección Sub-Núcleos y Extensiones
NULL;41;NU01000000;Decanato;A101020200;Decanato
NULL;41;NU01010000;Delegación de Consultoria Jurídica;A101020400;Dirección y/o Delegación de Consultoría Jurídica 
NULL;41;NU01020000;Delegación de Relaciones Inter-Institucionales;A101020600;Oficina de Relaciones Inter-Institucionales 
NULL;41;NU01030000;Delegación de Planificación ;A101070100;Dirección y/o Delegación de Planificación
